input,output,mp,mt,min,max,sum,mean,stddev
ssd,devnull,1,256,21.979,25.782,6143.51,23.9981,1.10998
ssd,devnull,1,256,22.374,26.191,6251.97,24.4218,1.12664
ssd,devnull,1,256,22.287,26.19,6248.89,24.4097,1.14526
ssd,ssd,1,256,39.181,43.065,10562.8,41.2611,1.14873
ssd,ssd,1,256,38.131,41.951,10296,40.2188,1.12225
ssd,ssd,1,256,38.087,41.811,10257.9,40.07,1.08395
ssd,lustre1ost,1,256,49.109,52.863,13085,51.1132,1.09519
ssd,lustre1ost,1,256,49.16,53.066,13125,51.2696,1.13694
ssd,lustre1ost,1,256,49.058,52.886,13089.7,51.1318,1.10471
ssd,lustre16ost,1,256,52.783,56.666,14052,54.8908,1.12252
ssd,lustre16ost,1,256,52.802,56.661,14050.2,54.8835,1.12222
ssd,lustre16ost,1,256,52.689,56.427,13995.2,54.6686,1.10142
lustre1ost,devnull,1,256,22.245,26.103,6227.82,24.3274,1.12045
lustre1ost,devnull,1,256,22.37,26.148,6247.99,24.4062,1.10247
lustre1ost,devnull,1,256,22.132,25.919,6190.19,24.1804,1.10345
lustre1ost,ssd,1,256,38.988,42.806,10508.4,41.0484,1.12774
lustre1ost,ssd,1,256,38.708,42.555,10443.7,40.7958,1.11812
lustre1ost,ssd,1,256,38.796,42.701,10473.2,40.9108,1.11699
lustre1ost,lustre1ost,1,256,49.384,53.158,13155.3,51.3878,1.09075
lustre1ost,lustre1ost,1,256,49.364,53.141,13162,51.4141,1.11751
lustre1ost,lustre1ost,1,256,49.33,53.259,13173.2,51.4579,1.14088
lustre1ost,lustre16ost,1,256,52.45,56.233,13945.9,54.4762,1.09692
lustre1ost,lustre16ost,1,256,52.851,56.67,14058.5,54.9162,1.10712
lustre1ost,lustre16ost,1,256,52.984,56.735,14076.5,54.9862,1.09899
lustre16ost,devnull,1,256,22.292,26.129,6233.45,24.3494,1.11327
lustre16ost,devnull,1,256,22.338,26.146,6239.61,24.3735,1.11042
lustre16ost,devnull,1,256,22.088,25.855,6167.53,24.0919,1.10254
lustre16ost,ssd,1,256,39.129,42.956,10546.7,41.198,1.11593
lustre16ost,ssd,1,256,39.049,42.866,10517.2,41.0828,1.11091
lustre16ost,ssd,1,256,38.562,42.357,10392.2,40.5944,1.10774
lustre16ost,lustre1ost,1,256,49.478,53.334,13195.7,51.5456,1.11368
lustre16ost,lustre1ost,1,256,49.315,53.138,13149,51.3634,1.11768
lustre16ost,lustre1ost,1,256,49.564,53.486,13231.8,51.6865,1.14546
lustre16ost,lustre16ost,1,256,53.104,56.99,14137.9,55.2262,1.13523
lustre16ost,lustre16ost,1,256,52.969,56.771,14076.7,54.987,1.10725
lustre16ost,lustre16ost,1,256,52.996,56.816,14087.2,55.028,1.1165
ssd,devnull,4,64,12.18,12.914,803.887,12.5607,0.216251
ssd,devnull,4,64,12.073,12.793,796.949,12.4523,0.217429
ssd,devnull,4,64,11.688,12.437,773.264,12.0823,0.218936
ssd,ssd,4,64,12.214,12.954,806.013,12.594,0.222023
ssd,ssd,4,64,12.37,13.112,816.26,12.7541,0.221692
ssd,ssd,4,64,12.29,13.04,811.397,12.6781,0.220666
ssd,lustre1ost,4,64,12.799,13.55,843.933,13.1865,0.218584
ssd,lustre1ost,4,64,12.987,13.75,856.685,13.3857,0.22028
ssd,lustre1ost,4,64,12.808,13.553,844.172,13.1902,0.218145
ssd,lustre16ost,4,64,13.108,13.857,864.03,13.5005,0.222613
ssd,lustre16ost,4,64,12.869,13.62,848.391,13.2561,0.223367
ssd,lustre16ost,4,64,13.054,13.789,859.485,13.4295,0.219034
lustre1ost,devnull,4,64,11.898,12.657,786.826,12.2942,0.218606
lustre1ost,devnull,4,64,11.978,12.728,790.999,12.3594,0.217354
lustre1ost,devnull,4,64,11.973,12.721,791.558,12.3681,0.220699
lustre1ost,ssd,4,64,12.54,13.296,827.725,12.9332,0.222174
lustre1ost,ssd,4,64,12.253,12.996,809.313,12.6455,0.217786
lustre1ost,ssd,4,64,12.388,13.137,817.821,12.7785,0.220043
lustre1ost,lustre1ost,4,64,12.672,13.427,836.024,13.0629,0.21999
lustre1ost,lustre1ost,4,64,12.718,13.444,837.725,13.0895,0.218768
lustre1ost,lustre1ost,4,64,12.702,13.444,837.274,13.0824,0.220255
lustre1ost,lustre16ost,4,64,13.264,13.99,872.804,13.6376,0.219212
lustre1ost,lustre16ost,4,64,12.977,13.725,854.909,13.358,0.21465
lustre1ost,lustre16ost,4,64,12.928,13.701,853.041,13.3288,0.218829
lustre16ost,devnull,4,64,12.157,12.9,803.163,12.5494,0.217114
