ExitStatus,mp_lustre,4,0
UserSecs,mp_lustre,5,317.09
SystemSecs,mp_lustre,5,11.93
Utilization,mp_lustre,5,1107
WallClock,mp_lustre,5,0:29.71
AvgShrText,mp_lustre,5,0
AvgUnshareData,mp_lustre,5,0
AvgStack,mp_lustre,5,0
AvgTotal,mp_lustre,5,0
MaxRes,mp_lustre,5,4465144
AvgRes,mp_lustre,5,0
MajorPageFaults,mp_lustre,5,0
MinorPageFaults,mp_lustre,5,513791
VolSwitches,mp_lustre,5,25112
InvolSwitches,mp_lustre,5,3802
Swaps,mp_lustre,5,0
Inputs,mp_lustre,5,0
Outputs,mp_lustre,5,672800
SockSent,mp_lustre,5,0
SockRecv,mp_lustre,5,0
SigsDelivered,mp_lustre,5,0
PageSize,mp_lustre,5,4096
ExitStatus,mp_lustre,5,0
UserSecs,mp_lustre,6,318.86
SystemSecs,mp_lustre,6,11.92
Utilization,mp_lustre,6,1110
WallClock,mp_lustre,6,0:29.78
AvgShrText,mp_lustre,6,0
AvgUnshareData,mp_lustre,6,0
AvgStack,mp_lustre,6,0
AvgTotal,mp_lustre,6,0
MaxRes,mp_lustre,6,4465152
AvgRes,mp_lustre,6,0
MajorPageFaults,mp_lustre,6,0
MinorPageFaults,mp_lustre,6,513865
VolSwitches,mp_lustre,6,25193
InvolSwitches,mp_lustre,6,3377
Swaps,mp_lustre,6,0
Inputs,mp_lustre,6,0
Outputs,mp_lustre,6,671776
SockSent,mp_lustre,6,0
SockRecv,mp_lustre,6,0
SigsDelivered,mp_lustre,6,0
PageSize,mp_lustre,6,4096
ExitStatus,mp_lustre,6,0
UserSecs,mp_lustre,7,318.30
SystemSecs,mp_lustre,7,12.20
Utilization,mp_lustre,7,1106
WallClock,mp_lustre,7,0:29.86
AvgShrText,mp_lustre,7,0
AvgUnshareData,mp_lustre,7,0
AvgStack,mp_lustre,7,0
AvgTotal,mp_lustre,7,0
MaxRes,mp_lustre,7,4459212
AvgRes,mp_lustre,7,0
MajorPageFaults,mp_lustre,7,0
MinorPageFaults,mp_lustre,7,513894
VolSwitches,mp_lustre,7,26269
InvolSwitches,mp_lustre,7,3749
Swaps,mp_lustre,7,0
Inputs,mp_lustre,7,0
Outputs,mp_lustre,7,671776
SockSent,mp_lustre,7,0
SockRecv,mp_lustre,7,0
SigsDelivered,mp_lustre,7,0
PageSize,mp_lustre,7,4096
ExitStatus,mp_lustre,7,0
UserSecs,mp_lustre,8,319.11
SystemSecs,mp_lustre,8,12.06
Utilization,mp_lustre,8,1111
WallClock,mp_lustre,8,0:29.80
AvgShrText,mp_lustre,8,0
AvgUnshareData,mp_lustre,8,0
AvgStack,mp_lustre,8,0
AvgTotal,mp_lustre,8,0
MaxRes,mp_lustre,8,4465440
AvgRes,mp_lustre,8,0
MajorPageFaults,mp_lustre,8,0
MinorPageFaults,mp_lustre,8,513908
VolSwitches,mp_lustre,8,26403
InvolSwitches,mp_lustre,8,4425
Swaps,mp_lustre,8,0
Inputs,mp_lustre,8,0
Outputs,mp_lustre,8,671776
SockSent,mp_lustre,8,0
SockRecv,mp_lustre,8,0
SigsDelivered,mp_lustre,8,0
PageSize,mp_lustre,8,4096
ExitStatus,mp_lustre,8,0
UserSecs,mp_lustre,9,299.74
SystemSecs,mp_lustre,9,13.42
Utilization,mp_lustre,9,1030
WallClock,mp_lustre,9,0:30.37
AvgShrText,mp_lustre,9,0
AvgUnshareData,mp_lustre,9,0
AvgStack,mp_lustre,9,0
AvgTotal,mp_lustre,9,0
MaxRes,mp_lustre,9,4463388
