input,output,mp,mt,min,max,sum,mean,stddev
lustre16ost,ssd,1,256,76.202,80.051,20040.6,78.2836,1.12099
lustre16ost,ssd,1,256,74.964,78.761,19724.2,77.0477,1.10295
lustre16ost,lustre1ost,1,256,95.79,99.617,25047.7,97.8426,1.11359
lustre16ost,lustre1ost,1,256,96.444,100.401,25242.8,98.6046,1.15423
lustre16ost,lustre1ost,1,256,95.874,99.677,25061.3,97.8956,1.12211
lustre16ost,lustre16ost,1,256,104.37,108.205,27257.2,106.473,1.12377
lustre16ost,lustre16ost,1,256,103.827,107.762,27130,105.976,1.16118
lustre16ost,lustre16ost,1,256,103.074,106.852,26900.3,105.079,1.09679
ssd,devnull,2,128,39.611,41.39,10384.7,40.5651,0.496785
ssd,devnull,2,128,39.092,41.819,10365.7,40.4911,0.732888
ssd,devnull,2,128,39.369,41.6,10374.1,40.5239,0.561275
ssd,ssd,2,128,48.296,50.589,12675.8,49.5149,0.572406
ssd,ssd,2,128,48.658,50.389,12693.6,49.5844,0.495959
ssd,ssd,2,128,48.745,50.538,12724.1,49.7033,0.500313
ssd,lustre1ost,2,128,59.99,61.789,15605.5,60.9591,0.492976
ssd,lustre1ost,2,128,59.925,61.723,15592.8,60.9093,0.500631
ssd,lustre1ost,2,128,60.157,61.935,15645.9,61.1167,0.502657
ssd,lustre16ost,2,128,64.446,66.173,16734.4,65.3687,0.497454
ssd,lustre16ost,2,128,64.104,65.835,16641.7,65.0067,0.493301
ssd,lustre16ost,2,128,64.492,66.234,16749.9,65.4294,0.494716
lustre1ost,devnull,2,128,39.548,41.621,10404.6,40.6429,0.528146
lustre1ost,devnull,2,128,39.692,41.542,10406.9,40.6521,0.505038
lustre1ost,devnull,2,128,39.361,41.471,10360.5,40.4706,0.537426
lustre1ost,ssd,2,128,48.71,50.418,12700.7,49.612,0.495001
lustre1ost,ssd,2,128,48.393,50.279,12647.2,49.403,0.499309
lustre1ost,ssd,2,128,48.376,50.28,12641.6,49.3812,0.506222
lustre1ost,lustre1ost,2,128,59.899,61.587,15561.7,60.7881,0.493947
lustre1ost,lustre1ost,2,128,59.672,61.693,15549.7,60.7411,0.516424
lustre1ost,lustre1ost,2,128,59.505,61.499,15497.6,60.5374,0.521412
lustre1ost,lustre16ost,2,128,64.629,66.456,16792.9,65.5972,0.497651
lustre1ost,lustre16ost,2,128,63.923,65.956,16636.4,64.9859,0.51606
lustre1ost,lustre16ost,2,128,64.132,66.217,16697.4,65.2241,0.52125
lustre16ost,devnull,2,128,39.221,41.337,10326.4,40.3376,0.535848
lustre16ost,devnull,2,128,39.629,41.616,10415,40.6835,0.518645
lustre16ost,devnull,2,128,39.715,41.644,10428,40.7343,0.50872
lustre16ost,ssd,2,128,48.633,50.501,12706.2,49.6337,0.503196
lustre16ost,ssd,2,128,48.537,50.266,12661.3,49.4583,0.498312
lustre16ost,ssd,2,128,48.431,50.299,12654.8,49.4329,0.49643
lustre16ost,lustre1ost,2,128,59.715,61.475,15528.8,60.6594,0.500324
lustre16ost,lustre1ost,2,128,60.11,62.069,15651.6,61.139,0.516891
lustre16ost,lustre1ost,2,128,59.969,62.06,15638,61.0859,0.541149
lustre16ost,lustre16ost,2,128,64.16,65.945,16669.6,65.1155,0.495068
lustre16ost,lustre16ost,2,128,64.068,65.868,16645.1,65.02,0.492514
lustre16ost,lustre16ost,2,128,63.862,66.163,16660.7,65.081,0.578051
ssd,devnull,4,64,39.217,40.313,10197.5,39.8339,0.256159
ssd,devnull,4,64,38.564,40.261,10097.3,39.4427,0.411704
ssd,devnull,4,64,39.007,40.636,10181,39.7693,0.392586
ssd,ssd,4,64,40.906,41.886,10605.5,41.4276,0.237813
ssd,ssd,4,64,40.669,41.713,10554.5,41.2286,0.245775
ssd,ssd,4,64,40.626,41.739,10550.1,41.2113,0.260214
ssd,lustre1ost,4,64,43.075,44.311,11178.8,43.6672,0.298946
ssd,lustre1ost,4,64,43.766,44.776,11331.6,44.264,0.244052
ssd,lustre1ost,4,64,43.272,44.519,11235.9,43.8904,0.292076
ssd,lustre16ost,4,64,45.008,46.166,11659.5,45.5448,0.273584
ssd,lustre16ost,4,64,44.962,46.092,11664.9,45.5661,0.268033
ssd,lustre16ost,4,64,45.07,46.257,11702.6,45.7133,0.279646
lustre1ost,devnull,4,64,39.159,40.257,10164.2,39.7039,0.254122
lustre1ost,devnull,4,64,39.215,40.477,10189.4,39.8022,0.289273
lustre1ost,devnull,4,64,39.032,40.122,10141.4,39.6147,0.258682
lustre1ost,ssd,4,64,40.51,41.726,10556.3,41.2354,0.286118
lustre1ost,ssd,4,64,40.622,41.837,10554.4,41.2279,0.276156
lustre1ost,ssd,4,64,40.559,41.928,10565.1,41.2701,0.313848
lustre1ost,lustre1ost,4,64,43.223,44.347,11218.3,43.8215,0.269689
lustre1ost,lustre1ost,4,64,43.475,44.554,11270.3,44.0247,0.256287
lustre1ost,lustre1ost,4,64,43.285,44.428,11230.5,43.8692,0.272564
lustre1ost,lustre16ost,4,64,45.053,46.273,11686.7,45.651,0.274038
lustre1ost,lustre16ost,4,64,45.357,46.297,11732.5,45.8299,0.23531
lustre1ost,lustre16ost,4,64,45.265,46.221,11715.9,45.7654,0.235397
lustre16ost,devnull,4,64,39.126,40.097,10148.1,39.641,0.232588
lustre16ost,devnull,4,64,39.263,40.295,10196.7,39.8307,0.245842
lustre16ost,devnull,4,64,38.187,40.226,10073.6,39.3502,0.542568
lustre16ost,ssd,4,64,40.734,41.8,10579.5,41.326,0.255952
lustre16ost,ssd,4,64,40.807,41.76,10571.6,41.2954,0.232496
lustre16ost,ssd,4,64,40.695,41.786,10556.2,41.235,0.26486
lustre16ost,lustre1ost,4,64,43.363,44.494,11239.4,43.9037,0.263449
lustre16ost,lustre1ost,4,64,43.533,44.602,11289.9,44.1012,0.249219
lustre16ost,lustre1ost,4,64,43.252,44.726,11272.4,44.0328,0.347733
lustre16ost,lustre16ost,4,64,45.601,46.697,11826,46.1954,0.265753
lustre16ost,lustre16ost,4,64,45.157,46.101,11694,45.6798,0.229728
lustre16ost,lustre16ost,4,64,45.01,46.062,11677.3,45.6144,0.247308
ssd,devnull,8,32,38.964,40.292,10178.2,39.7584,0.341198
ssd,devnull,8,32,38.853,39.996,10091.7,39.4208,0.272778
ssd,devnull,8,32,39.133,40.254,10178.6,39.7601,0.269232
ssd,ssd,8,32,40.547,41.24,10473.1,40.9106,0.147063
ssd,ssd,8,32,40.246,41.038,10404.7,40.6432,0.185497
ssd,ssd,8,32,40.305,40.981,10396.4,40.6108,0.15041
ssd,lustre1ost,8,32,41.772,42.314,10764.7,42.0498,0.123761
ssd,lustre1ost,8,32,41.605,42.546,10754.2,42.0086,0.231025
ssd,lustre1ost,8,32,41.823,42.784,10808.9,42.2224,0.212575
ssd,lustre16ost,8,32,42.06,43.052,10901.6,42.5843,0.215883
ssd,lustre16ost,8,32,42.229,43.042,10914.9,42.6363,0.190936
ssd,lustre16ost,8,32,42.335,43.016,10923,42.668,0.137192
lustre1ost,devnull,8,32,38.809,39.86,10089.8,39.4133,0.23796
lustre1ost,devnull,8,32,38.573,40.045,10100.2,39.4539,0.400305
lustre1ost,devnull,8,32,39.035,40.131,10137.4,39.5993,0.254852
lustre1ost,ssd,8,32,40.36,41.098,10427.4,40.732,0.165399
lustre1ost,ssd,8,32,40.343,41.031,10421.2,40.7077,0.152121
lustre1ost,ssd,8,32,40.158,40.878,10385.3,40.5675,0.151901
lustre1ost,lustre1ost,8,32,41.673,42.442,10748.1,41.9847,0.168353
lustre1ost,lustre1ost,8,32,41.695,42.33,10753.7,42.0066,0.14646
lustre1ost,lustre1ost,8,32,41.798,42.781,10808.7,42.2217,0.218943
lustre1ost,lustre16ost,8,32,42.462,43.186,10956.4,42.7982,0.15785
lustre1ost,lustre16ost,8,32,42.247,43.038,10948,42.7657,0.181425
lustre1ost,lustre16ost,8,32,42.261,43.071,10929.4,42.6931,0.198493
lustre16ost,devnull,8,32,39.231,39.964,10128.4,39.5641,0.158756
lustre16ost,devnull,8,32,39.111,40.12,10106.6,39.4788,0.241073
lustre16ost,devnull,8,32,38.891,40.26,10134,39.586,0.350444
lustre16ost,ssd,8,32,40.33,41.143,10418.9,40.6988,0.193282
lustre16ost,ssd,8,32,40.316,40.964,10410.3,40.6654,0.140232
lustre16ost,ssd,8,32,40.201,41.065,10402.2,40.6335,0.201567
lustre16ost,lustre1ost,8,32,41.532,42.26,10739.8,41.9524,0.159399
lustre16ost,lustre1ost,8,32,41.818,42.426,10776.4,42.0955,0.13741
lustre16ost,lustre1ost,8,32,41.846,42.524,10801.6,42.1938,0.147404
lustre16ost,lustre16ost,8,32,42.095,43.128,10927.9,42.6872,0.233303
lustre16ost,lustre16ost,8,32,42.448,43.106,10947.3,42.7629,0.143679
lustre16ost,lustre16ost,8,32,42.337,43.063,10927,42.6838,0.172694
ssd,devnull,16,16,34.528,48.989,11163.7,43.6081,6.52508
ssd,devnull,16,16,39.223,41.062,10318.8,40.3078,0.394792
ssd,devnull,16,16,39.414,40.886,10298.2,40.2274,0.351237
ssd,ssd,16,16,42.618,46.214,11366.5,44.4005,1.00705
ssd,ssd,16,16,40.041,42.318,10516.3,41.0792,0.67106
ssd,ssd,16,16,39.274,44.208,10747.6,41.9826,1.87505
ssd,lustre1ost,16,16,42.488,42.815,10922.6,42.6664,0.070198
ssd,lustre1ost,16,16,42.317,43.222,10942.9,42.7457,0.224955
ssd,lustre1ost,16,16,42.241,43.013,10893.9,42.5541,0.169105
ssd,lustre16ost,16,16,42.653,43.234,10997.2,42.958,0.142166
ssd,lustre16ost,16,16,42.855,43.299,11027.4,43.0758,0.1082
ssd,lustre16ost,16,16,42.683,43.399,11001.8,42.976,0.160703
lustre1ost,devnull,16,16,40.374,42.209,10624.3,41.5011,0.516297
lustre1ost,devnull,16,16,39.39,40.846,10276.4,40.142,0.355898
lustre1ost,devnull,16,16,39.595,40.543,10286.6,40.1822,0.223233
lustre1ost,ssd,16,16,40.682,41.689,10561.7,41.2567,0.234864
lustre1ost,ssd,16,16,40.903,42.126,10692.7,41.7683,0.250602
lustre1ost,ssd,16,16,41.078,42.446,10689.1,41.7541,0.358406
lustre1ost,lustre1ost,16,16,42.768,43.389,11019.6,43.0453,0.159137
lustre1ost,lustre1ost,16,16,42.595,44.355,11193.3,43.7238,0.414646
lustre1ost,lustre1ost,16,16,42.77,44.198,11132.5,43.4862,0.372078
lustre1ost,lustre16ost,16,16,42.795,44.132,11122.3,43.4467,0.310768
lustre1ost,lustre16ost,16,16,44.966,47.833,11928.1,46.5941,0.737548
lustre1ost,lustre16ost,16,16,41.844,47.956,11573.4,45.2086,1.56515
lustre16ost,devnull,16,16,40.501,42.486,10680.2,41.7195,0.498029
lustre16ost,devnull,16,16,39.148,40.718,10257.1,40.0668,0.461541
lustre16ost,devnull,16,16,39.127,40.632,10251.3,40.044,0.38193
lustre16ost,ssd,16,16,40.686,41.739,10562.4,41.2595,0.237945
lustre16ost,ssd,16,16,40.924,42.145,10658.4,41.6344,0.307733
lustre16ost,ssd,16,16,43.642,44.447,11276.3,44.0481,0.204692
lustre16ost,lustre1ost,16,16,42.674,43.408,11036.9,43.1128,0.206923
lustre16ost,lustre1ost,16,16,42.714,43.948,11127.3,43.466,0.29881
lustre16ost,lustre1ost,16,16,42.922,43.672,11097.5,43.3497,0.182271
lustre16ost,lustre16ost,16,16,42.454,43.541,11033.6,43.1001,0.27245
lustre16ost,lustre16ost,16,16,42.911,45.483,11285.9,44.0856,0.718737
lustre16ost,lustre16ost,16,16,42.908,44.219,11157,43.5818,0.297209
ssd,devnull,32,8,23.554,23.628,188.701,23.5876,0.0262784
ssd,ssd,32,8,21.845,21.941,350.333,21.8958,0.0267413
ssd,ssd,32,8,25.604,26.978,1256.86,26.1845,0.477542
ssd,lustre1ost,32,8,23.942,24.412,1353.27,24.1655,0.138866
ssd,lustre16ost,32,8,23.714,24.762,1360.66,24.2976,0.356525
lustre1ost,devnull,32,8,21.009,21.11,168.425,21.0531,0.0313298
lustre1ost,devnull,32,8,21.603,21.676,173.077,21.6346,0.0249338
lustre1ost,ssd,32,8,20.698,20.781,165.914,20.7393,0.0272384
lustre1ost,lustre1ost,32,8,28.415,30.715,3071.92,29.5377,0.52478
lustre1ost,lustre1ost,32,8,24.18,25.368,1198.34,24.9655,0.442941
lustre1ost,lustre16ost,32,8,20.913,21.007,167.626,20.9533,0.0318602
lustre1ost,lustre16ost,32,8,24.405,24.478,195.526,24.4407,0.0249213
lustre16ost,devnull,32,8,22.428,22.5,179.692,22.4615,0.0275525
lustre16ost,ssd,32,8,23.226,24.304,761.368,23.7927,0.370944
lustre16ost,lustre1ost,32,8,30.361,31.713,3754.77,31.2898,0.325403
lustre16ost,lustre1ost,32,8,24.738,24.805,198.176,24.772,0.0232256
lustre16ost,lustre16ost,32,8,21.95,22.026,175.852,21.9815,0.0255958
lustre16ost,lustre16ost,32,8,21.067,21.161,168.876,21.1095,0.0289532
