input,output,mp,mt,min,max,sum,mean,stddev
ssd,devnull,1,256,40.933,44.735,10998,42.9609,1.12083
ssd,devnull,1,256,41.146,45.003,11062.9,43.2145,1.12186
ssd,devnull,1,256,41.013,44.803,11022,43.0548,1.11802
ssd,ssd,1,256,76.159,79.926,20007.7,78.155,1.0989
ssd,ssd,1,256,74.954,78.719,19710.3,76.9933,1.11224
ssd,ssd,1,256,75.115,78.932,19755.2,77.1686,1.11184
ssd,lustre1ost,1,256,95.699,99.533,25030.8,97.7765,1.11159
ssd,lustre1ost,1,256,96.438,100.339,25227.7,98.5456,1.13144
ssd,lustre1ost,1,256,96.682,100.533,25284.9,98.7693,1.13725
ssd,lustre16ost,1,256,104.229,107.997,27201.2,106.255,1.10369
ssd,lustre16ost,1,256,103.392,107.255,26994.4,105.447,1.11711
ssd,lustre16ost,1,256,104.059,107.819,27149.8,106.054,1.116
lustre1ost,devnull,1,256,41.652,45.51,11194.9,43.7299,1.1112
lustre1ost,devnull,1,256,41.254,45.231,11121.3,43.4427,1.15155
lustre1ost,devnull,1,256,41.16,45.049,11072.8,43.253,1.13188
lustre1ost,ssd,1,256,75.031,78.778,19722.8,77.0423,1.0883
lustre1ost,ssd,1,256,75.452,79.484,19881,77.6603,1.1827
lustre1ost,ssd,1,256,75.073,78.917,19755.9,77.1715,1.11362
lustre1ost,lustre1ost,1,256,96.202,99.985,25144,98.2188,1.11643
lustre1ost,lustre1ost,1,256,96.082,99.947,25135.7,98.1862,1.13267
lustre1ost,lustre1ost,1,256,96.334,100.26,25207.1,98.4653,1.13108
lustre1ost,lustre16ost,1,256,104.462,108.428,27295.1,106.621,1.15907
lustre1ost,lustre16ost,1,256,103.64,107.504,27064.4,105.72,1.1092
lustre1ost,lustre16ost,1,256,104.139,107.944,27178.2,106.165,1.1157
lustre16ost,devnull,1,256,41.321,45.194,11121.6,43.4439,1.12383
lustre16ost,devnull,1,256,41.411,45.312,11144.5,43.5331,1.13314
lustre16ost,devnull,1,256,41.116,45.069,11078.7,43.276,1.15207
lustre16ost,ssd,1,256,74.999,78.818,19724.9,77.0504,1.1059
