experiment	run	tool	lock	version	sensitivity	paired	threads	seconds
showcase2016	bt2-tbbpin-q	bowtie2	TBB queuing_mutex	Original parsing	sensitive	unp	15	79.51
showcase2016	bt2-tbbpin-q	bowtie2	TBB queuing_mutex	Original parsing	sensitive	unp	30	81.724
showcase2016	bt2-tbbpin-q	bowtie2	TBB queuing_mutex	Original parsing	sensitive	unp	45	107.233
showcase2016	bt2-tbbpin-q	bowtie2	TBB queuing_mutex	Original parsing	sensitive	unp	1	78.872
showcase2016	bt2-cleanparse-tbbpin-co-tktptl	bowtie2	TBB/JHU CohortLock	Optimized parsing	sensitive	unp	1	76.835
showcase2016	bt2-cleanparse-tbbpin-co-tktptl	bowtie2	TBB/JHU CohortLock	Optimized parsing	sensitive	unp	75	109.818
showcase2016	bt2-cleanparse-tbbpin-co-tktptl	bowtie2	TBB/JHU CohortLock	Optimized parsing	sensitive	unp	105	116.041
showcase2016	bt2-cleanparse-tbbpin-co-tktptl	bowtie2	TBB/JHU CohortLock	Optimized parsing	sensitive	unp	120	128.98
showcase2016	bt2-cleanparse-tbbpin-co-tktptl	bowtie2	TBB/JHU CohortLock	Optimized parsing	sensitive	unp	90	105.055
showcase2016	bt2-cleanparse-tbbpin-co-tktptl	bowtie2	TBB/JHU CohortLock	Optimized parsing	sensitive	unp	45	102.824
showcase2016	bt2-cleanparse-tbbpin-co-tktptl	bowtie2	TBB/JHU CohortLock	Optimized parsing	sensitive	unp	30	78.533
showcase2016	bt2-cleanparse-tbbpin-co-tktptl	bowtie2	TBB/JHU CohortLock	Optimized parsing	sensitive	unp	15	77.216
showcase2016	bt2-cleanparse-tbbpin-co-tktptl	bowtie2	TBB/JHU CohortLock	Optimized parsing	sensitive	unp	60	124.399
showcase2016	bt2-cleanparse-tbbpin-co-tktptl	bowtie2	TBB/JHU CohortLock	Optimized parsing	sensitive	pe	60	140.229
showcase2016	bt2-cleanparse-tbbpin-co-tktptl	bowtie2	TBB/JHU CohortLock	Optimized parsing	sensitive	pe	105	151.943
showcase2016	bt2-cleanparse-tbbpin-co-tktptl	bowtie2	TBB/JHU CohortLock	Optimized parsing	sensitive	pe	15	70.316
showcase2016	bt2-cleanparse-tbbpin-co-tktptl	bowtie2	TBB/JHU CohortLock	Optimized parsing	sensitive	pe	120	211.336
showcase2016	bt2-cleanparse-tbbpin-co-tktptl	bowtie2	TBB/JHU CohortLock	Optimized parsing	sensitive	pe	30	75.539
showcase2016	bt2-cleanparse-tbbpin-co-tktptl	bowtie2	TBB/JHU CohortLock	Optimized parsing	sensitive	pe	45	106.214
showcase2016	bt2-cleanparse-tbbpin-co-tktptl	bowtie2	TBB/JHU CohortLock	Optimized parsing	sensitive	pe	90	113.095
showcase2016	bt2-cleanparse-tbbpin-co-tktptl	bowtie2	TBB/JHU CohortLock	Optimized parsing	sensitive	pe	75	115.613
showcase2016	bt2-cleanparse-tbbpin-co-tktptl	bowtie2	TBB/JHU CohortLock	Optimized parsing	sensitive	pe	1	67.936
