nproc,out,block,tnobuf,tbuf,tdd
8,devnull,1073741824,4.028,3.588,0.771
8,devnull,1610612736,3.198,3.219,0.753
8,devnull,1610612736,3.195,3.234,0.73
8,devnull,1610612736,3.193,3.24,0.731
8,devnull,1610612736,3.433,3.745,0.725
8,devnull,1610612736,3.495,3.979,0.729
8,devnull,1610612736,3.21,3.257,0.722
8,devnull,1610612736,3.846,3.38,0.725
8,devnull,1610612736,3.89,3.635,0.718
8,devnull,2147483648,3.199,3.307,1.01
8,devnull,2147483648,3.202,3.337,1.021
8,devnull,2147483648,3.199,3.336,1.086
8,devnull,2147483648,3.193,3.341,1.08
8,devnull,2147483648,3.871,4.092,1.019
8,devnull,2147483648,4.005,4.051,0.97
8,devnull,2147483648,3.232,3.339,0.971
8,devnull,2147483648,3.195,3.501,0.953
8,ssd,536870912,15.804,9.358,6.784
8,ssd,536870912,17.789,8.82,7.073
8,ssd,536870912,17.711,8.787,7.203
8,ssd,536870912,17.781,9.259,6.66
8,ssd,536870912,18.552,8.747,7.208
8,ssd,536870912,20.128,8.846,6.737
8,ssd,536870912,17.636,9.187,42.965
8,ssd,536870912,17.103,9.831,45.764
8,ssd,1073741824,17.124,8.548,65.987
8,ssd,1073741824,17.534,8.23,66.763
8,ssd,1073741824,77.517,8.573,71.533
8,ssd,1073741824,74.065,9.025,75.692
8,ssd,1073741824,16.385,66.237,75.249
8,ssd,1073741824,78.08,71.553,70.802
8,ssd,1073741824,82.166,75.211,72.807
8,ssd,1073741824,82.029,75.602,72.722
8,ssd,1610612736,82.851,57.22,5.454
8,ssd,1610612736,82.681,54.969,35.476
8,ssd,1610612736,77.565,7.8,48.447
8,ssd,1610612736,16.04,8.855,49.296
8,ssd,1610612736,16.99,54.122,55.798
8,ssd,1610612736,17.862,54.031,55.403
8,ssd,1610612736,65.221,52.07,55.54
8,ssd,1610612736,64.356,52.363,54.749
8,ssd,2147483648,16.706,67.779,65.232
8,ssd,2147483648,16.203,70.11,64.348
8,ssd,2147483648,16.579,64.045,6.379
8,ssd,2147483648,76.736,66.614,56.392
8,ssd,2147483648,79.244,66.981,46.999
8,ssd,2147483648,73.429,8.749,46.612
8,ssd,2147483648,73.492,9.153,46.166
8,ssd,2147483648,16.118,64.327,40.661
8,lustre_1_ost,536870912,26.708,11.886,10.049
8,lustre_1_ost,536870912,25.721,13.167,10.425
8,lustre_1_ost,536870912,25.66,13.084,11.12
8,lustre_1_ost,536870912,27.114,13.013,10.334
8,lustre_1_ost,536870912,30.924,12.518,9.842
8,lustre_1_ost,536870912,32.928,13.153,10.075
8,lustre_1_ost,536870912,32.855,13.535,10.041
8,lustre_1_ost,536870912,32.602,13.788,10.177
8,lustre_1_ost,1073741824,29.256,12.455,9.913
8,lustre_1_ost,1073741824,29.458,12.517,11.037
8,lustre_1_ost,1073741824,28.872,12.6,10.523
8,lustre_1_ost,1073741824,28.386,13.39,11.902
8,lustre_1_ost,1073741824,28.483,12.481,11.294
8,lustre_1_ost,1073741824,28.592,12.769,10.451
8,lustre_1_ost,1073741824,29.03,13.29,9.772
8,lustre_1_ost,1073741824,30.059,12.78,10.633
8,lustre_1_ost,1610612736,27.868,11.264,8.338
8,lustre_1_ost,1610612736,28.816,11.212,8.55
8,lustre_1_ost,1610612736,29.293,11.571,9.14
8,lustre_1_ost,1610612736,29.05,12.052,9.088
8,lustre_1_ost,1610612736,28.543,11.512,7.96
8,lustre_1_ost,1610612736,28.158,10.899,8.518
8,lustre_1_ost,1610612736,27.771,12.165,9.109
8,lustre_1_ost,1610612736,28.753,11.082,7.947
8,lustre_1_ost,2147483648,27.909,12.654,11.438
8,lustre_1_ost,2147483648,27.983,12.955,10.906
8,lustre_1_ost,2147483648,28.219,12.747,9.719
8,lustre_1_ost,2147483648,27.356,13.269,11.275
8,lustre_1_ost,2147483648,28.44,13.393,11.494
8,lustre_1_ost,2147483648,28.238,13.232,10.869
8,lustre_1_ost,2147483648,28.015,14.067,10.264
8,lustre_1_ost,2147483648,28.598,14.189,9.964
8,lustre_16_ost,536870912,29.153,14.533,11.994
8,lustre_16_ost,536870912,28.915,13.85,13.303
8,lustre_16_ost,536870912,29.28,14.498,12.575
8,lustre_16_ost,536870912,29.618,14.15,13.497
8,lustre_16_ost,536870912,32.317,15.369,13.171
8,lustre_16_ost,536870912,33.516,14.672,13.168
8,lustre_16_ost,536870912,35.29,15.382,12.753
8,lustre_16_ost,536870912,35.206,16.188,12.936
8,lustre_16_ost,1073741824,32.382,14.009,12.246
8,lustre_16_ost,1073741824,32.839,14.363,12.309
8,lustre_16_ost,1073741824,32.232,15.212,13.17
8,lustre_16_ost,1073741824,33.123,15.066,12.439
8,lustre_16_ost,1073741824,31.515,15.23,13.109
8,lustre_16_ost,1073741824,31.604,15.464,13.722
8,lustre_16_ost,1073741824,31.391,15.008,12.696
8,lustre_16_ost,1073741824,33.165,15.236,13.359
8,lustre_16_ost,1610612736,32.445,12.693,9.301
8,lustre_16_ost,1610612736,33.373,13.007,10.512
8,lustre_16_ost,1610612736,33.019,12.136,9.604
8,lustre_16_ost,1610612736,34.168,13.54,10.014
8,lustre_16_ost,1610612736,32.74,13.475,10.613
8,lustre_16_ost,1610612736,32.382,12.768,10.147
8,lustre_16_ost,1610612736,32.989,13.187,10.405
8,lustre_16_ost,1610612736,33.382,12.86,9.348
8,lustre_16_ost,2147483648,31.329,14.625,12.407
8,lustre_16_ost,2147483648,32.249,14.491,12.86
8,lustre_16_ost,2147483648,31.415,15.11,12.904
8,lustre_16_ost,2147483648,31.915,15.92,13.06
8,lustre_16_ost,2147483648,31.973,14.806,12.563
8,lustre_16_ost,2147483648,32.308,16.628,12.795
8,lustre_16_ost,2147483648,32.185,15.57,13.113
8,lustre_16_ost,2147483648,31.833,16.095,12.25
